,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
109,1360.68005,1360.82996,1350.62,1370.63,4404570000,1361.76001,1360.03003,1358.84998,1352.06995,1364.69995,3706940000,1360.14001
110,1361.76001,1358.97998,1351.56006,1366.83997,4635070000,1358.43994,1360.14001,1360.70996,1350.54004,1366.58997,3801960000,1350.93005
111,1358.43994,1357.08997,1335.46997,1357.08997,4779980000,1335.48999,1350.93005,1349.58997,1333.40002,1349.58997,4573570000,1337.81006
112,1335.48999,1335.78003,1331.29004,1353.03003,4734240000,1339.87,1337.81006,1336.89001,1330.5,1347.66003,4811670000,1342.82996
113,1339.87,1341.81006,1341.70996,1360.03003,4080420000,1360.03003,1342.82996,1341.02002,1314.45996,1341.02002,5324900000,1317.93005
114,1360.03003,1358.84998,1352.06995,1364.69995,3706940000,1360.14001,1317.93005,1319.77002,1315.31006,1323.78003,4186370000,1318
115,1360.14001,1360.70996,1350.54004,1366.58997,3801960000,1350.93005,1318,1317.22998,1304.42004,1326.02002,4705050000,1314.29004
116,1350.93005,1349.58997,1333.40002,1349.58997,4573570000,1337.81006,1314.29004,1314.54004,1314.54004,1335.63,4825640000,1321.96997
117,1337.81006,1336.89001,1330.5,1347.66003,4811670000,1342.82996,1321.96997,1316.29004,1283.15002,1316.29004,5231280000,1283.15002
118,1342.82996,1341.02002,1314.45996,1341.02002,5324900000,1317.93005,1283.15002,1283.59998,1272,1289.44995,6208260000,1278.38
119,1317.93005,1319.77002,1315.31006,1323.78003,4186370000,1318,1278.38,1278.06006,1274.85999,1290.31006,5032330000,1280
120,1318,1317.22998,1304.42004,1326.02002,4705050000,1314.29004,1280,1276.68994,1260.68005,1285.31006,5846290000,1284.91003
121,1314.29004,1314.54004,1314.54004,1335.63,4825640000,1321.96997,1284.91003,1285.81995,1261.51001,1292.17004,5276090000,1261.52002
122,1321.96997,1316.29004,1283.15002,1316.29004,5231280000,1283.15002,1261.52002,1262.95996,1252.01001,1271.47998,3247590000,1262.90002
123,1283.15002,1283.59998,1272,1289.44995,6208260000,1278.38,1262.90002,1262.90002,1240.68005,1273.94995,5265420000,1252.31006
124,1278.38,1278.06006,1274.85999,1290.31006,5032330000,1280,1252.31006,1251.83997,1242.83997,1274.17004,6034110000,1273.69995
125,1280,1276.68994,1260.68005,1285.31006,5846290000,1284.91003,1273.69995,1273.38,1244.56995,1277.35999,5181000000,1244.68994
126,1284.91003,1285.81995,1261.51001,1292.17004,5276090000,1261.52002,1244.68994,1245.25,1236.76001,1257.65002,5840430000,1253.39001
127,1261.52002,1262.95996,1252.01001,1271.47998,3247590000,1262.90002,1253.39001,1248.66003,1225.34998,1257.27002,6742200000,1239.48999
128,1262.90002,1262.90002,1240.68005,1273.94995,5265420000,1252.31006,1239.48999,1241.60999,1225.01001,1253.5,5434860000,1228.30005
129,1252.31006,1251.83997,1242.83997,1274.17004,6034110000,1273.69995,1228.30005,1226.82996,1200.43994,1234.34998,7363640000,1214.91003
130,1273.69995,1273.38,1244.56995,1277.35999,5181000000,1244.68994,1214.91003,1214.65002,1211.39001,1245.52002,6738630000,1245.35999
131,1244.68994,1245.25,1236.76001,1257.65002,5840430000,1253.39001,1245.35999,1246.31006,1241.48999,1262.31006,7365210000,1260.31995
132,1253.39001,1248.66003,1225.34998,1257.27002,6742200000,1239.48999,1260.31995,1258.21997,1251.81006,1262.22998,5653280000,1260.68005
133,1239.48999,1241.60999,1225.01001,1253.5,5434860000,1228.30005,1260.68005,1261.81995,1255.69995,1267.73999,4630640000,1260
134,1228.30005,1226.82996,1200.43994,1234.34998,7363640000,1214.91003,1260,1257.07996,1248.82996,1277.42004,6180230000,1277
135,1214.91003,1214.65002,1211.39001,1245.52002,6738630000,1245.35999,1277,1278.87,1276.06006,1291.17004,6705830000,1282.18994
136,1245.35999,1246.31006,1241.48999,1262.31006,7365210000,1260.31995,1282.18994,1283.21997,1251.47998,1283.21997,6127980000,1252.54004
137,1260.31995,1258.21997,1251.81006,1262.22998,5653280000,1260.68005,1252.54004,1253.51001,1251.75,1263.22998,4672560000,1257.76001
138,1260.68005,1261.81995,1255.69995,1267.73999,4630640000,1260,1257.76001,1257.76001,1234.37,1260.08997,4282960000,1234.37
139,1260,1257.07996,1248.82996,1277.42004,6180230000,1277,1234.37,1236.38,1236.38,1263.19995,5414240000,1263.19995
140,1277,1278.87,1276.06006,1291.17004,6705830000,1282.18994,1263.19995,1264.52002,1264.52002,1284.32996,5631330000,1284.26001
141,1282.18994,1283.21997,1251.47998,1283.21997,6127980000,1252.54004,1284.26001,1281.37,1265.96997,1284.93005,5346050000,1267.38
142,1252.54004,1253.51001,1251.75,1263.22998,4672560000,1257.76001,1267.38,1269.42004,1254.54004,1270.52002,4684870000,1260.31006
143,1257.76001,1257.76001,1234.37,1260.08997,4282960000,1234.37,1260.31006,1253.27002,1247.44995,1260.48999,4562280000,1249.01001
144,1234.37,1236.38,1236.38,1263.19995,5414240000,1263.19995,1249.01001,1254.87,1254.67004,1284.88,1219310000,1284.88
145,1263.19995,1264.52002,1264.52002,1284.32996,5631330000,1284.26001,1284.88,1283.98999,1276,1291.67004,4873420000,1289.18994
146,1284.26001,1281.37,1265.96997,1284.93005,5346050000,1267.38,1289.18994,1286.51001,1264.29004,1286.51001,5319380000,1266.06995
147,1267.38,1269.42004,1254.54004,1270.52002,4684870000,1260.31006,1266.06995,1266.29004,1262.10999,1297.84998,4966810000,1296.31995
148,1260.31006,1253.27002,1247.44995,1260.48999,4562280000,1249.01001,1296.31995,1294.42004,1291.41003,1313.15002,5067310000,1305.31995
149,1249.01001,1254.87,1254.67004,1284.88,1219310000,1284.88,1305.31995,1304.79004,1285.64001,1304.79004,4711290000,1289.58997
150,1284.88,1283.98999,1276,1291.67004,4873420000,1289.18994,1289.58997,1288.64001,1274.85999,1294.03003,4787600000,1285.82996
151,1289.18994,1286.51001,1264.29004,1286.51001,5319380000,1266.06995,1285.82996,1282.10999,1276.83997,1300.10999,4064000000,1292.93005
152,1266.06995,1266.29004,1262.10999,1297.84998,4966810000,1296.31995,1292.93005,1293.84998,1290.73999,1302.05005,4041820000,1298.19995
153,1296.31995,1294.42004,1291.41003,1313.15002,5067310000,1305.31995,1298.19995,1298.14001,1274.51001,1300.21997,3829290000,1278.59998
154,1305.31995,1304.79004,1285.64001,1304.79004,4711290000,1289.58997,1278.59998,1276.65002,1263.10999,1276.65002,4159760000,1266.68994
155,1289.58997,1288.64001,1274.85999,1294.03003,4787600000,1285.82996,1266.68994,1267.33997,1261.16003,1276.01001,4555030000,1274.54004
156,1285.82996,1282.10999,1276.83997,1300.10999,4064000000,1292.93005,1274.54004,1271.06995,1265.21997,1281.40002,4032590000,1277.71997
157,1292.93005,1293.84998,1290.73999,1302.05005,4041820000,1298.19995,1277.71997,1277.58997,1277.58997,1293.08997,3741070000,1292.19995
158,1298.19995,1298.14001,1274.51001,1300.21997,3829290000,1278.59998,1292.19995,1290.46997,1264.87,1290.46997,3420600000,1266.83997
159,1278.59998,1276.65002,1263.10999,1276.65002,4159760000,1266.68994,1266.83997,1267.03003,1263.20996,1275.65002,3587570000,1271.51001
160,1266.68994,1267.33997,1261.16003,1276.01001,4555030000,1274.54004,1271.51001,1271.29004,1270.03003,1285.05005,3499610000,1281.66003
161,1274.54004,1271.06995,1265.21997,1281.40002,4032590000,1277.71997,1281.66003,1283.79004,1283.79004,1300.68005,3854280000,1300.68005
162,1277.71997,1277.58997,1277.58997,1293.08997,3741070000,1292.19995,1300.68005,1296.48999,1282.73999,1297.58997,3288120000,1282.82996
163,1292.19995,1290.46997,1264.87,1290.46997,3420600000,1266.83997,1282.82996,1287.82996,1272.19995,1303.04004,4783560000,1277.57996
164,1266.83997,1267.03003,1263.20996,1275.65002,3587570000,1271.51001,1277.57996,1276.60999,1265.58997,1280.59998,5056980000,1274.97998
165,1271.51001,1271.29004,1270.03003,1285.05005,3499610000,1281.66003,1274.97998,1271.80005,1232.82996,1271.80005,5212500000,1236.82996
166,1281.66003,1283.79004,1283.79004,1300.68005,3854280000,1300.68005,1236.82996,1233.20996,1217.22998,1244.93994,5017080000,1242.31006
167,1300.68005,1296.48999,1282.73999,1297.58997,3288120000,1282.82996,1242.31006,1249.5,1247.12,1274.42004,7351340000,1267.79004
168,1282.82996,1287.82996,1272.19995,1303.04004,4783560000,1277.57996,1267.79004,1267.97998,1224.51001,1268.66003,7380630000,1224.51001
169,1277.57996,1276.60999,1265.58997,1280.59998,5056980000,1274.97998,1224.51001,1227.5,1221.59998,1243.90002,6543440000,1232.04004
170,1274.97998,1271.80005,1232.82996,1271.80005,5212500000,1236.82996,1232.04004,1229.04004,1211.54004,1249.97998,6869250000,1249.05005
171,1236.82996,1233.20996,1217.22998,1244.93994,5017080000,1242.31006,1249.05005,1245.88,1233.81006,1255.08997,6273260000,1251.69995
172,1242.31006,1249.5,1247.12,1274.42004,7351340000,1267.79004,1251.69995,1250.92004,1192.69995,1250.92004,8279510000,1192.69995
173,1267.79004,1267.97998,1224.51001,1268.66003,7380630000,1224.51001,1192.69995,1188.31006,1169.28003,1214.83997,9459830000,1213.59998
174,1224.51001,1227.5,1221.59998,1243.90002,6543440000,1232.04004,1213.59998,1210.33997,1155.88,1210.33997,9431870000,1156.39001
175,1232.04004,1229.04004,1211.54004,1249.97998,6869250000,1249.05005,1156.39001,1157.07996,1133.5,1211.14001,10082690000,1206.51001
176,1249.05005,1245.88,1233.81006,1255.08997,6273260000,1251.69995,1206.51001,1213.10999,1213.10999,1265.12,9387170000,1255.07996
177,1251.69995,1250.92004,1192.69995,1250.92004,8279510000,1192.69995,1255.07996,1255.37,1205.60999,1255.37,5368130000,1207.08997
178,1192.69995,1188.31006,1169.28003,1214.83997,9459830000,1213.59998,1207.08997,1207.60999,1187.06006,1221.15002,5185730000,1188.21997
179,1213.59998,1210.33997,1155.88,1210.33997,9431870000,1156.39001,1188.21997,1188.79004,1179.79004,1197.41003,4820360000,1185.87
180,1156.39001,1157.07996,1133.5,1211.14001,10082690000,1206.51001,1185.87,1187.87,1187.87,1220.03003,5877640000,1209.18005
181,1206.51001,1213.10999,1213.10999,1265.12,9387170000,1255.07996,1209.18005,1204.46997,1187.54004,1215.77002,5383610000,1213.27002
182,1255.07996,1255.37,1205.60999,1255.37,5368130000,1207.08997,1213.27002,1209.06995,1106.42004,1209.06995,7305060000,1106.42004
183,1207.08997,1207.60999,1187.06006,1221.15002,5185730000,1188.21997,1106.42004,1113.78003,1113.78003,1168.03003,4937680000,1166.35999
184,1188.21997,1188.79004,1179.79004,1197.41003,4820360000,1185.87,1166.35999,1164.17004,1140.77002,1167.03003,5782130000,1161.06006
185,1185.87,1187.87,1187.87,1220.03003,5877640000,1209.18005,1161.06006,1160.64001,1111.43005,1160.64001,6285640000,1114.28003
186,1209.18005,1204.46997,1187.54004,1215.77002,5383610000,1213.27002,1114.28003,1115.16003,1098.14001,1153.81995,6716120000,1099.22998
187,1213.27002,1209.06995,1106.42004,1209.06995,7305060000,1106.42004,1099.22998,1097.56006,1007.96997,1097.56006,7956020000,1056.89001
188,1106.42004,1113.78003,1113.78003,1168.03003,4937680000,1166.35999,1056.89001,1057.59998,996.22998,1072.91003,7069210000,996.22998
189,1166.35999,1164.17004,1140.77002,1167.03003,5782130000,1161.06006,996.22998,988.90997,970.96997,1021.06,8716330000,984.94
190,1161.06006,1160.64001,1111.43005,1160.64001,6285640000,1114.28003,984.94,988.41998,909.19,1005.25,6819000000,909.91998
191,1114.28003,1115.16003,1098.14001,1153.81995,6716120000,1099.22998,909.91998,902.31,839.79999,936.35999,11456230000,899.21997
192,1099.22998,1097.56006,1007.96997,1097.56006,7956020000,1056.89001,899.21997,912.75,912.75,1006.92999,7263370000,1003.34998
193,1056.89001,1057.59998,996.22998,1072.91003,7069210000,996.22998,1003.34998,1009.96997,972.07001,1044.31006,8161990000,998.01001
194,996.22998,988.90997,970.96997,1021.06,8716330000,984.94,998.01001,994.59998,903.98999,994.59998,6542330000,907.84003
195,984.94,988.41998,909.19,1005.25,6819000000,909.91998,907.84003,909.53003,865.83002,947.71002,7984500000,946.42999
